timestep_time;vehicle_CO;vehicle_CO2;vehicle_HC;vehicle_NOx;vehicle_PMx;vehicle_angle;vehicle_eclass;vehicle_electricity;vehicle_fuel;vehicle_id;vehicle_lane;vehicle_noise;vehicle_pos;vehicle_route;vehicle_speed;vehicle_type;vehicle_waiting;vehicle_x;vehicle_y
0.00;20.17;5286.11;4.85;60.75;2.01;318.30;HBEFA3/Bus;0.00;1671.11;bus0;30322208#4_0;67.11;0.20;!bus0!var#1;0.00;bus_bus;0.00;16.370189;48.209733
0.00;179.19;1228.61;0.64;0.31;0.17;161.05;HBEFA3/LDV_G_EU6;0.00;391.94;motorcycle0;349522268#0_0;55.94;2.30;!motorcycle0!var#1;0.00;motorcycle_motorcycle;0.00;16.367805;48.206010
1.00;21.08;6331.94;4.98;67.60;2.11;318.95;HBEFA3/Bus;0.00;2002.17;bus0;:1086399425_0_0;70.82;0.62;!bus0!var#1;0.62;bus_bus;0.00;16.370184;48.209738
1.00;236.65;4309.94;0.97;0.93;0.31;161.05;HBEFA3/LDV_G_EU6;0.00;1374.87;motorcycle0;349522268#0_0;71.78;5.61;!motorcycle0!var#1;3.31;motorcycle_motorcycle;0.00;16.367819;48.205982
2.00;22.85;8209.13;5.23;80.19;2.31;320.47;HBEFA3/Bus;0.00;2596.33;bus0;:1086399425_0_0;72.25;2.05;!bus0!var#1;1.43;bus_bus;0.00;16.370175;48.209749
2.00;284.52;6713.96;1.24;1.42;0.42;119.99;HBEFA3/LDV_G_EU6;0.00;2141.73;motorcycle0;:33182899_1_0;71.87;3.89;!motorcycle0!var#1;6.35;motorcycle_motorcycle;0.00;16.367864;48.205938
3.00;26.74;12066.53;5.72;106.58;2.75;323.20;HBEFA3/Bus;0.00;3817.19;bus0;:1086399425_0_0;74.59;4.63;!bus0!var#1;2.58;bus_bus;0.00;16.370157;48.209769
3.00;0.00;0.00;0.00;0.00;0.00;53.78;HBEFA3/LDV_G_EU6;0.00;0.00;motorcycle0;349830565_0;59.17;0.64;!motorcycle0!var#1;6.34;motorcycle_motorcycle;0.00;16.367939;48.205963
4.00;27.31;12939.11;5.83;111.93;2.82;326.87;HBEFA3/Bus;0.00;4093.47;bus0;:1086399425_0_0;73.69;8.11;!bus0!var#1;3.48;bus_bus;0.00;16.370133;48.209796
4.00;0.00;0.00;0.00;0.00;0.00;49.94;HBEFA3/LDV_G_EU6;0.00;0.00;motorcycle0;349830565_0;57.54;6.60;!motorcycle0!var#1;5.96;motorcycle_motorcycle;0.00;16.368001;48.205996
5.00;31.72;17229.30;6.39;141.42;3.31;328.56;HBEFA3/Bus;0.00;5451.28;bus0;9226410_0;75.45;2.61;!bus0!var#1;4.60;bus_bus;0.00;16.370102;48.209832
5.00;86.17;2302.43;0.36;0.56;0.10;43.02;HBEFA3/LDV_G_EU6;0.00;734.46;motorcycle0;349830565_0;60.50;12.90;!motorcycle0!var#1;6.31;motorcycle_motorcycle;0.00;16.368065;48.206034
6.00;29.79;15890.45;6.21;131.12;3.12;328.55;HBEFA3/Bus;0.00;5027.73;bus0;9226410_0;73.97;7.99;!bus0!var#1;5.38;bus_bus;0.00;16.370065;48.209873
6.00;0.00;0.00;0.00;0.00;0.00;41.11;HBEFA3/LDV_G_EU6;0.00;0.00;motorcycle0;349830565_0;58.69;19.10;!motorcycle0!var#1;6.19;motorcycle_motorcycle;0.00;16.368122;48.206074
7.00;21.63;8842.33;5.29;80.82;2.24;328.55;HBEFA3/Bus;0.00;2797.38;bus0;9226410_0;70.17;13.41;!bus0!var#1;5.42;bus_bus;0.00;16.370028;48.209916
7.00;287.43;7623.23;1.29;1.61;0.45;40.17;HBEFA3/LDV_G_EU6;0.00;2431.78;motorcycle0;349830565_0;70.70;27.81;!motorcycle0!var#1;8.72;motorcycle_motorcycle;0.00;16.368199;48.206133
8.00;21.63;8863.80;5.29;80.93;2.24;328.55;HBEFA3/Bus;0.00;2804.18;bus0;9226410_0;70.19;18.88;!bus0!var#1;5.47;bus_bus;0.00;16.369991;48.209958
