timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;318.30;bus0;30322208#4_0;0.20;0.00;0.00;bus_bus;16.370189;48.209733
0.00;161.05;motorcycle0;349522268#0_0;2.30;0.00;0.00;motorcycle_motorcycle;16.367805;48.206010
1.00;318.95;bus0;:1086399425_0_0;0.62;0.00;0.62;bus_bus;16.370184;48.209738
1.00;161.05;motorcycle0;349522268#0_0;5.61;0.00;3.31;motorcycle_motorcycle;16.367819;48.205982
2.00;320.47;bus0;:1086399425_0_0;2.05;0.00;1.43;bus_bus;16.370175;48.209749
2.00;119.99;motorcycle0;:33182899_1_0;3.89;0.00;6.35;motorcycle_motorcycle;16.367864;48.205938
3.00;323.20;bus0;:1086399425_0_0;4.63;0.00;2.58;bus_bus;16.370157;48.209769
3.00;53.78;motorcycle0;349830565_0;0.64;0.00;6.34;motorcycle_motorcycle;16.367939;48.205963
4.00;326.87;bus0;:1086399425_0_0;8.11;0.00;3.48;bus_bus;16.370133;48.209796
4.00;49.94;motorcycle0;349830565_0;6.60;0.00;5.96;motorcycle_motorcycle;16.368001;48.205996
5.00;328.56;bus0;9226410_0;2.61;0.00;4.60;bus_bus;16.370102;48.209832
5.00;43.02;motorcycle0;349830565_0;12.90;0.00;6.31;motorcycle_motorcycle;16.368065;48.206034
6.00;328.55;bus0;9226410_0;7.99;0.00;5.38;bus_bus;16.370065;48.209873
6.00;41.11;motorcycle0;349830565_0;19.10;0.00;6.19;motorcycle_motorcycle;16.368122;48.206074
7.00;328.55;bus0;9226410_0;13.41;0.00;5.42;bus_bus;16.370028;48.209916
7.00;40.17;motorcycle0;349830565_0;27.81;0.00;8.72;motorcycle_motorcycle;16.368199;48.206133
8.00;328.55;bus0;9226410_0;18.88;0.00;5.47;bus_bus;16.369991;48.209958
8.00;33.48;motorcycle0;:3556230392_0_0;0.20;0.00;7.58;motorcycle_motorcycle;16.368258;48.206189
9.00;328.55;bus0;9226410_0;24.01;0.00;5.14;bus_bus;16.369956;48.209998
9.00;33.89;motorcycle0;:3556230392_0_0;6.21;0.00;6.01;motorcycle_motorcycle;16.368305;48.206233
10.00;328.55;bus0;9226410_0;29.17;0.00;5.15;bus_bus;16.369921;48.210038
10.00;34.01;motorcycle0;349522275#1_0;4.91;0.00;5.89;motorcycle_motorcycle;16.368350;48.206277
11.00;343.55;bus0;:cluster_33182892_33196509_2_0;2.74;0.00;5.16;bus_bus;16.369928;48.210080
11.00;34.01;motorcycle0;349522275#1_0;13.50;0.00;8.58;motorcycle_motorcycle;16.368416;48.206340
12.00;19.19;bus0;:cluster_33182892_33196509_2_0;7.71;0.00;4.97;bus_bus;16.369980;48.210108
12.00;34.01;motorcycle0;349522275#1_0;20.62;0.00;7.13;motorcycle_motorcycle;16.368471;48.206392
13.00;52.73;bus0;:cluster_33182892_33196509_2_0;13.22;0.00;5.51;bus_bus;16.370046;48.210130
13.00;34.01;motorcycle0;349522275#1_0;29.34;0.00;8.71;motorcycle_motorcycle;16.368539;48.206457
14.00;63.01;bus0;:cluster_33182892_33196509_2_0;18.63;0.00;5.41;bus_bus;16.370113;48.210149
14.00;34.01;motorcycle0;349522275#1_0;37.27;0.00;7.94;motorcycle_motorcycle;16.368600;48.206515
15.00;66.45;bus0;:cluster_33182892_33196509_2_0;23.81;0.00;5.19;bus_bus;16.370179;48.210166
15.00;34.01;motorcycle0;349522275#1_0;45.72;0.00;8.45;motorcycle_motorcycle;16.368665;48.206577
16.00;68.58;bus0;25950172#1_0;4.66;0.00;5.39;bus_bus;16.370247;48.210182
16.00;22.49;motorcycle0;349522275#1_0;53.73;0.00;8.01;motorcycle_motorcycle;16.368722;48.206638
17.00;69.36;bus0;25950172#1_0;9.89;0.00;5.23;bus_bus;16.370313;48.210198
17.00;25.23;motorcycle0;349522275#1_0;60.31;0.00;6.58;motorcycle_motorcycle;16.368756;48.206692
18.00;69.70;bus0;25950172#1_0;15.33;0.00;5.44;bus_bus;16.370383;48.210214
18.00;36.42;motorcycle0;349522275#1_0;69.03;0.00;8.72;motorcycle_motorcycle;16.368828;48.206755
19.00;70.78;bus0;25950172#1_0;20.30;0.00;4.97;bus_bus;16.370447;48.210227
19.00;36.42;motorcycle0;349522275#1_0;73.64;0.00;4.61;motorcycle_motorcycle;16.368865;48.206788
20.00;74.45;bus0;25950172#1_0;25.30;0.00;5.00;bus_bus;16.370513;48.210235
20.00;32.32;motorcycle0;:33182911_1_0;8.00;0.00;8.81;motorcycle_motorcycle;16.368935;48.206852
21.00;86.82;bus0;:32665895_2_0;5.50;0.00;5.51;bus_bus;16.370584;48.210227
21.00;30.81;motorcycle0;31247165_0;2.89;0.00;5.94;motorcycle_motorcycle;16.368977;48.206897
22.00;119.05;bus0;4952816#0_0;5.62;0.00;6.42;bus_bus;16.370642;48.210184
22.00;357.76;motorcycle0;:33182912_3_0;4.22;0.00;5.80;motorcycle_motorcycle;16.368997;48.206946
